Suburb,Zone,Zone_Description,Number of Properties
MCLAREN VALE                                      ,TD        ,Tourism Development,25
MOANA                                             ,CP        ,Caravan and Tourist Park,3
MOANA                                             ,CSTCON    ,Coastal Conservation,7
MOANA                                             ,Con       ,Conservation,2
MOANA                                             ,DU        ,Deferred Urban,1
MOANA                                             ,LCe       ,Local Centre,13
MOANA                                             ,NCe       ,Neighbourhood Centre,8
MOANA                                             ,R         ,Residential,1196
MOANA                                             ,TD        ,Tourism Development,60
MORPHETT VALE                                     ,C         ,Commercial,48
MORPHETT VALE                                     ,CU        ,Community,9
MORPHETT VALE                                     ,Con       ,Conservation,1
MORPHETT VALE                                     ,DCe       ,District Centre,333
MORPHETT VALE                                     ,In        ,Industry,1
MORPHETT VALE                                     ,LCe       ,Local Centre,47
MORPHETT VALE                                     ,NCe       ,Neighbourhood Centre,76
MORPHETT VALE                                     ,R         ,Residential,10731
MORPHETT VALE                                     ,TD        ,Tourism Development,1
NOARLUNGA CENTRE                                  ,HF        ,Hills Face,2
NOARLUNGA CENTRE                                  ,In        ,Industry,1
NOARLUNGA CENTRE                                  ,LIN       ,Light Industry,2
NOARLUNGA CENTRE                                  ,PRPRO     ,Primary Production,3
NOARLUNGA CENTRE                                  ,RCE       ,Regional Centre,474
NOARLUNGA CENTRE                                  ,R         ,Residential,7
NOARLUNGA CENTRE                                  ,T         ,Township,1
NOARLUNGA DOWNS                                   ,LCe       ,Local Centre,1
NOARLUNGA DOWNS                                   ,OS        ,Open Space,8
NOARLUNGA DOWNS                                   ,RCE       ,Regional Centre,19
NOARLUNGA DOWNS                                   ,R         ,Residential,1790
O'HALLORAN HILL                                   ,HF        ,Hills Face,13
O'HALLORAN HILL                                   ,NCe       ,Neighbourhood Centre,81
O'HALLORAN HILL                                   ,R         ,Residential,1006
O'SULLIVAN BEACH                                  ,CSTCON    ,Coastal Conservation,4
O'SULLIVAN BEACH                                  ,In        ,Industry,5
O'SULLIVAN BEACH                                  ,LCe       ,Local Centre,8
O'SULLIVAN BEACH                                  ,R         ,Residential,958
OLD NOARLUNGA                                     ,BG        ,Bulky Goods,1
OLD NOARLUNGA                                     ,C         ,Commercial,12
OLD NOARLUNGA                                     ,HF        ,Hills Face,8
OLD NOARLUNGA                                     ,In        ,Industry,3
OLD NOARLUNGA                                     ,LIN       ,Light Industry,69
OLD NOARLUNGA                                     ,MINEX     ,Mineral Extraction,1
OLD NOARLUNGA                                     ,PRPRO     ,Primary Production,17
OLD NOARLUNGA                                     ,R         ,Residential,444
OLD NOARLUNGA                                     ,T         ,Township,140
OLD REYNELLA                                      ,C         ,Commercial,40
OLD REYNELLA                                      ,In        ,Industry,4
OLD REYNELLA                                      ,LCe       ,Local Centre,7
OLD REYNELLA                                      ,R         ,Residential,1314
OLD REYNELLA                                      ,T         ,Township,285
ONKAPARINGA HILLS                                 ,CU        ,Community,1
ONKAPARINGA HILLS                                 ,HF        ,Hills Face,235
ONKAPARINGA HILLS                                 ,LIN       ,Light Industry,2
ONKAPARINGA HILLS                                 ,R         ,Residential,740
ONKAPARINGA HILLS                                 ,RuL       ,Rural Living,14
PORT NOARLUNGA                                    ,CSTCON    ,Coastal Conservation,14
PORT NOARLUNGA                                    ,C         ,Commercial,1
PORT NOARLUNGA                                    ,OS        ,Open Space,25
PORT NOARLUNGA                                    ,RCE       ,Regional Centre,10
PORT NOARLUNGA                                    ,R         ,Residential,1428
PORT NOARLUNGA                                    ,TD        ,Tourism Development,3
PORT NOARLUNGA                                    ,TCE       ,Town Centre,62
PORT NOARLUNGA SOUTH                              ,CSTCON    ,Coastal Conservation,9
PORT NOARLUNGA SOUTH                              ,In        ,Industry,2
PORT NOARLUNGA SOUTH                              ,LCe       ,Local Centre,3
PORT NOARLUNGA SOUTH                              ,NCe       ,Neighbourhood Centre,15
PORT NOARLUNGA SOUTH                              ,OS        ,Open Space,5
PORT NOARLUNGA SOUTH                              ,R         ,Residential,1259
PORT WILLUNGA                                     ,CSTCON    ,Coastal Conservation,2
PORT WILLUNGA                                     ,OS        ,Open Space,17
PORT WILLUNGA                                     ,R         ,Residential,866
PORT WILLUNGA                                     ,T         ,Township,193
REYNELLA                                          ,C         ,Commercial,35
REYNELLA                                          ,DU        ,Deferred Urban,1
REYNELLA                                          ,In        ,Industry,16
REYNELLA                                          ,LCe       ,Local Centre,25
REYNELLA                                          ,MINEX     ,Mineral Extraction,3
REYNELLA                                          ,OS        ,Open Space,7
REYNELLA                                          ,R         ,Residential,2155
REYNELLA EAST                                     ,R         ,Residential,914
SEAFORD                                           ,DCe       ,District Centre,242
SEAFORD                                           ,In        ,Industry,151
SEAFORD                                           ,LCe       ,Local Centre,7
SEAFORD                                           ,R         ,Residential,1928
SEAFORD HEIGHTS                                   ,DU        ,Deferred Urban,4
SEAFORD HEIGHTS                                   ,PRPRO     ,Primary Production,4
SEAFORD HEIGHTS                                   ,R         ,Residential,9
SEAFORD MEADOWS                                   ,BG        ,Bulky Goods,16
SEAFORD MEADOWS                                   ,C         ,Commercial,4
SEAFORD MEADOWS                                   ,CU        ,Community,1
SEAFORD MEADOWS                                   ,In        ,Industry,18
SEAFORD MEADOWS                                   ,NCe       ,Neighbourhood Centre,42
SEAFORD MEADOWS                                   ,OS        ,Open Space,15
SEAFORD MEADOWS                                   ,R         ,Residential,1526
SEAFORD RISE                                      ,DU        ,Deferred Urban,4
SEAFORD RISE                                      ,LCe       ,Local Centre,2
SEAFORD RISE                                      ,R         ,Residential,2537
SELLICKS BEACH                                    ,CSTCON    ,Coastal Conservation,1
SELLICKS BEACH                                    ,Con       ,Conservation,3
SELLICKS BEACH                                    ,DU        ,Deferred Urban,16
SELLICKS BEACH                                    ,HF        ,Hills Face,2
SELLICKS BEACH                                    ,LCe       ,Local Centre,10
SELLICKS BEACH                                    ,PRPRO     ,Primary Production,58
SELLICKS BEACH                                    ,R         ,Residential,1491
SELLICKS HILL                                     ,HF        ,Hills Face,26
SELLICKS HILL                                     ,MINEX     ,Mineral Extraction,1
SELLICKS HILL                                     ,PRPRO     ,Primary Production,165
TATACHILLA                                        ,MINEX     ,Mineral Extraction,6
TATACHILLA                                        ,PRPRO     ,Primary Production,108
THE RANGE                                         ,HF        ,Hills Face,48
UNKNOWN                                           ,R         ,Residential,1
WHITES VALLEY                                     ,PRPRO     ,Primary Production,164
WILLUNGA                                          ,CU        ,Community,33
WILLUNGA                                          ,HF        ,Hills Face,65
WILLUNGA                                          ,LIN       ,Light Industry,24
WILLUNGA                                          ,PRPRO     ,Primary Production,90
WILLUNGA                                          ,R         ,Residential,558
WILLUNGA                                          ,RH        ,Residential Hills,62
WILLUNGA                                          ,RuL       ,Rural Living,1
WILLUNGA                                          ,T         ,Township,356
WILLUNGA SOUTH                                    ,HF        ,Hills Face,109
WILLUNGA SOUTH                                    ,PRPRO     ,Primary Production,61
WILLUNGA SOUTH                                    ,RH        ,Residential Hills,49
WOODCROFT                                         ,CP        ,Caravan and Tourist Park,1
WOODCROFT                                         ,CU        ,Community,27
WOODCROFT                                         ,LCe       ,Local Centre,12
WOODCROFT                                         ,NCe       ,Neighbourhood Centre,14
WOODCROFT                                         ,R         ,Residential,4322
WOODCROFT                                         ,RP        ,Residential Park,1
WOODCROFT                                         ,RuL       ,Rural Living,24
